y,cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-color,ring-number,ring-type,spore-print-color,population,habitat
edible,convex,smooth,yellow,1,almond,free,close,broad,black,enlarging,club,smooth,smooth,white,white,white,1,pendant,brown,numerous,grasses
edible,bell,smooth,white,1,anise,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,white,1,pendant,brown,numerous,meadows
poisonous,convex,scaly,white,1,pungent,free,close,narrow,brown,enlarging,equal,smooth,smooth,white,white,white,1,pendant,black,scattered,urban
edible,convex,smooth,gray,0,none,free,crowded,broad,black,tapering,equal,smooth,smooth,white,white,white,1,enanescent,brown,abundant,grasses
edible,convex,scaly,yellow,1,almond,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,white,1,pendant,black,numerous,grasses
edible,bell,smooth,white,1,almond,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,white,1,pendant,black,numerous,meadows
edible,bell,scaly,white,1,anise,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,white,1,pendant,brown,scattered,meadows
poisonous,convex,scaly,white,1,pungent,free,close,narrow,pink,enlarging,equal,smooth,smooth,white,white,white,1,pendant,black,several,grasses
edible,bell,smooth,yellow,1,almond,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,white,1,pendant,black,scattered,meadows
edible,convex,scaly,yellow,1,anise,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,white,1,pendant,brown,numerous,grasses
edible,convex,scaly,yellow,1,almond,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,white,1,pendant,black,scattered,meadows
edible,bell,smooth,yellow,1,almond,free,close,broad,white,enlarging,club,smooth,smooth,white,white,white,1,pendant,brown,scattered,grasses
poisonous,convex,scaly,white,1,pungent,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,white,1,pendant,brown,several,urban
edible,convex,fibrous,brown,0,none,free,crowded,broad,brown,tapering,equal,smooth,fibrous,white,white,white,1,enanescent,black,abundant,grasses
edible,sunken,fibrous,gray,0,none,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,white,1,pendant,brown,solitary,urban
edible,flat,fibrous,white,0,none,free,crowded,broad,black,tapering,equal,smooth,smooth,white,white,white,1,enanescent,brown,abundant,grasses
poisonous,convex,smooth,brown,1,pungent,free,close,narrow,brown,enlarging,equal,smooth,smooth,white,white,white,1,pendant,black,scattered,grasses
poisonous,convex,scaly,white,1,pungent,free,close,narrow,brown,enlarging,equal,smooth,smooth,white,white,white,1,pendant,brown,scattered,urban
poisonous,convex,smooth,brown,1,pungent,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,white,1,pendant,brown,scattered,urban
edible,bell,smooth,yellow,1,almond,free,close,broad,black,enlarging,club,smooth,smooth,white,white,white,1,pendant,brown,scattered,meadows
poisonous,convex,scaly,brown,1,pungent,free,close,narrow,brown,enlarging,equal,smooth,smooth,white,white,white,1,pendant,brown,several,grasses
edible,bell,scaly,yellow,1,anise,free,close,broad,black,enlarging,club,smooth,smooth,white,white,white,1,pendant,brown,scattered,meadows
edible,bell,scaly,white,1,almond,free,close,broad,white,enlarging,club,smooth,smooth,white,white,white,1,pendant,brown,numerous,meadows
edible,bell,smooth,white,1,anise,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,white,1,pendant,black,scattered,meadows
poisonous,flat,smooth,white,1,pungent,free,close,narrow,brown,enlarging,equal,smooth,smooth,white,white,white,1,pendant,brown,several,grasses
edible,convex,scaly,yellow,1,almond,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,white,1,pendant,brown,numerous,meadows
edible,convex,scaly,white,1,anise,free,close,broad,white,enlarging,club,smooth,smooth,white,white,white,1,pendant,brown,numerous,meadows
edible,flat,fibrous,brown,0,none,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,white,1,pendant,black,solitary,urban
edible,convex,smooth,yellow,1,almond,free,crowded,narrow,brown,tapering,bulbous,smooth,smooth,white,white,white,1,pendant,brown,several,woods
